Year,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
Total Offences,177126,148707,116495,116733,127273,121846,135055,126351,136477,122827,102777,105342,103633,104157,105999,107057,100959,97428,99978,97792,98220,96199,98894,104946,104419,103094,108789,118448,124696,125135,112193,102989,95474,84807,79866,77690,77901,75463,72565,65213
Homicide And Related Offences,175,205,193,232,242,254,269,262,275,314,285,264,255,218,194,225,209,242,196,132,89,112,102,106,107,94,110,113,119,135,125,87,88,159,142,169,133,156,164,145
Acts Intended To Cause Injury,3407,3551,3679,4018,4237,4040,4135,4887,5502,5249,5433,5779,7029,8900,11212,10899,10100,9951,9701,9378,9687,9508,9562,10128,10830,11032,11237,13468,14550,14439,13828,13143,12143,10387,10193,10787,10964,10639,10143,9609
Sexual Assault And Related Offences,436,382,428,482,585,590,613,655,737,773,876,961,1140,1223,1177,1219,1148,1026,938,887,885,912,870,895,941,970,977,1006,1026,1080,1040,1103,1189,1099,1075,1141,1076,1164,1090,989
Dangerous Or Negligent Acts Endangering Persons,8225,10865,11659,12949,13556,14355,15598,15657,15315,15172,13472,13676,12362,11722,12719,12800,11704,10738,11321,10346,10056,10082,10584,10487,10596,10394,11152,11645,11090,10550,8823,8118,7270,6609,5964,6041,6273,6393,5767,4794
"Abduction, Harassment And Other Offences Against The Person",314,266,283,350,311,335,352,359,322,302,373,423,617,662,754,765,790,789,898,876,917,969,1031,1204,1160,1245,1207,1320,1482,1624,1557,1444,1416,1146,1381,1501,1621,1586,1503,1547
"Robbery, Extortion And Related Offences",198,215,215,269,278,354,365,339,367,350,362,428,507,464,551,515,560,608,596,534,498,406,485,502,515,577,596,603,685,790,611,612,616,533,517,539,604,661,667,530
"Unlawful Entry With Intent/Burglary, Break And Enter",2393,2487,2763,2918,2774,2891,3025,3056,3019,3094,3387,3598,3346,2978,2759,2686,2738,2904,2862,2746,2906,2676,2627,2872,2944,2988,3072,3011,3248,3384,3168,3077,2947,2571,2395,2398,2422,2198,1988,2048
Theft And Related Offences,8259,8170,8973,9289,9603,10088,9948,10187,10377,10058,11092,11383,11127,10356,9549,9190,8752,8891,8970,8854,9288,8919,8912,9481,9479,9256,8983,9500,9935,9781,8535,7760,7120,6396,5995,5634,5647,5468,5145,4715
"Fraud, Deception And Related Offences",2911,3028,3084,2952,2796,2801,2993,3097,3172,3335,3868,4070,4055,3955,4187,4145,4323,4344,5068,5089,4862,4754,5026,4245,3749,3125,3049,3153,3176,3190,2857,2778,2893,2557,2615,2388,2333,2061,1813,1590
Illicit Drug Offences,3721,4012,4587,5018,5949,5847,6549,6383,6293,5603,5963,6111,6578,7474,7045,6293,6859,7496,7564,7478,7295,6391,6591,6508,5791,5354,5441,5367,6337,6870,5792,5097,4686,3626,3478,3380,3399,3355,3102,2633
Prohibited And Regulated Weapons And Explosives Offences,706,716,696,791,878,1115,1178,1215,1281,1096,1157,1097,1160,1296,1205,1081,1240,1269,1343,1185,1242,1231,1433,1416,1470,1611,1703,1801,1824,1890,1636,1547,1497,1322,1291,1400,1408,1382,1403,1323
Property Damage And Environmental Pollution,1809,1960,2077,2143,2139,2436,2634,2552,2747,2440,2431,2614,2754,2846,3571,3567,3486,3400,3490,3497,3791,3716,3771,3955,3828,4054,4188,4679,4548,4603,4156,3893,3733,3194,2901,2960,2758,2678,2556,2182
Public Order Offences,13769,10863,8827,7271,7701,7693,7612,5818,6317,4610,3875,4087,4294,5039,5797,6357,6649,6744,6978,7171,7301,6878,8056,10846,9974,10160,11677,12753,13563,13326,8197,4598,3820,2682,2128,1607,1725,1666,1486,1230
Traffic And Vehicle Regulatory Offences,108177,79099,50207,50953,57686,53346,66672,59644,66072,56911,37069,36748,31525,29949,27909,30249,29773,29160,30281,27403,26038,28295,28730,31170,30919,30447,32811,36279,38185,37519,35745,35109,32972,31379,28427,26433,26236,24743,23882,20755
"Offences Against Justice Procedures, Government Security And Government Operations",10563,12401,11021,10185,11559,10864,9456,10121,11750,10989,11133,11971,14696,14880,15511,14790,10460,7655,7308,10218,11396,9070,7341,8099,9143,9206,9862,11157,12631,13896,14220,12969,11595,9780,9890,9988,10297,10364,10927,10255
Miscellaneous Offences,12063,10487,7803,6913,6979,4837,3656,2119,2931,2531,2001,2132,2188,2195,1859,2276,2168,2211,2464,1998,1969,2280,3773,3032,2973,2581,2724,2593,2297,2058,1903,1654,1489,1367,1474,1324,1005,949,929,868
Population NZ,3164820,3188540,3215730,3243030,3268230,3290300,3310750,3332790,3360960,3398180,3446170,3503190,3564470,3623270,3674940,3717350,3752360,3783980,3818130,3858990,3907940,3963200,4022070,4080420,4135350,4185880,4233050,4278160,4323340,4370060,4418670,4468460,4518520,4567520,4614530,4659270,4702030,4743130,4783060,4822230
